"language","term","platform","topic","link","done"
"en","laziness in the digital age","youtube","laziness in the digital age","BO8BW1OxJ8c","True"
"en","machine-made opinions","youtube","machine-made opinions","r9YhsDPz2I0","True"
"en","machine-made opinions","youtube","machine-made opinions","r9YhsDPz2I0","True"
"en","machine-made opinions","youtube","machine-made opinions","bO_WyguQIUk","True"
"en","machine-made opinions","youtube","machine-made opinions","bO_WyguQIUk","True"
"en","outsourcing thoughts to machine","youtube","outsourcing thoughts to machine","kwPZkKP7WXY","True"
"en","outsourcing thoughts to machine","youtube","outsourcing thoughts to machine","kwPZkKP7WXY","True"
"en","outsourcing thoughts to machine","youtube","outsourcing thoughts to machine","7SQRZdX2YL0","True"
"en","outsourcing thoughts to machine","youtube","outsourcing thoughts to machine","7SQRZdX2YL0","True"
"en","surrendering our intellect","youtube","surrendering our intellect","InXpsI4LcZU","True"
"en","surrendering our intellect","youtube","surrendering our intellect","InXpsI4LcZU","True"
"en","surrendering our intellect","youtube","surrendering our intellect","SsHxMGBC06w","True"
"en","surrendering our intellect","youtube","surrendering our intellect","SsHxMGBC06w","True"
"en","the death of curiosity","youtube","the death of curiosity","WKzXfxzcBsA","True"
"en","the death of curiosity","youtube","the death of curiosity","WKzXfxzcBsA","True"
"en","the death of curiosity","youtube","the death of curiosity","BNIxD4F2UWk","True"
"en","the death of curiosity","youtube","the death of curiosity","BNIxD4F2UWk","True"
"en","when thinking gets outsourced","youtube","when thinking gets outsourced","YH0Vo4TcMUk","True"
"en","when thinking gets outsourced","youtube","when thinking gets outsourced","7SQRZdX2YL0","True"
"en","when thinking gets outsourced","youtube","when thinking gets outsourced","7SQRZdX2YL0","True"
"en","when thinking gets outsourced","youtube","when thinking gets outsourced","5DL56GPg2fY","True"
"es","Entregando nuestro intelecto","youtube","surrendering our intellect","rBsFRtqosCY","True"
"es","Entregando nuestro intelecto","youtube","surrendering our intellect","rBsFRtqosCY","True"
"es","Entregando nuestro intelecto","youtube","surrendering our intellect","KzH-NV3HJL0","True"
"es","Entregando nuestro intelecto","youtube","surrendering our intellect","KzH-NV3HJL0","True"
"es","comodidad de no pensar","youtube","comfort of not thinking","6WS_PFl4-I4","True"
"es","comodidad de no pensar","youtube","comfort of not thinking","6WS_PFl4-I4","True"
"es","comodidad de no pensar","youtube","comfort of not thinking","hWc1LTEqy9w","True"
"es","comodidad de no pensar","youtube","comfort of not thinking","hWc1LTEqy9w","True"
"es","cuando el pensamiento se subcontrata","youtube","when thinking gets outsourced","gWz4DZyIJic","True"
"es","cuando el pensamiento se subcontrata","youtube","when thinking gets outsourced","gWz4DZyIJic","True"
"es","cuando el pensamiento se subcontrata","youtube","when thinking gets outsourced","Jh_nQYBrK_g","True"
"es","cuando el pensamiento se subcontrata","youtube","when thinking gets outsourced","Jh_nQYBrK_g","True"
"es","la muerte de la curiosidad","youtube","the death of curiosity","nQvjnbmJQ3I","True"
"es","la muerte de la curiosidad","youtube","the death of curiosity","nQvjnbmJQ3I","True"
"es","la muerte de la curiosidad","youtube","the death of curiosity","xatpNbTE-hk","True"
"es","la muerte de la curiosidad","youtube","the death of curiosity","xatpNbTE-hk","True"
"es","opiniones hechas a máquina","youtube","machine-made opinions","3-aNa6ouytk","True"
"es","opiniones hechas a máquina","youtube","machine-made opinions","3-aNa6ouytk","True"
"es","opiniones hechas a máquina","youtube","machine-made opinions","1SeGZd0v7R0","True"
"es","opiniones hechas a máquina","youtube","machine-made opinions","1SeGZd0v7R0","True"
"es","pereza en la era digital","youtube","laziness in the digital age","2OXKDPCo_88","True"
"es","pereza en la era digital","youtube","laziness in the digital age","2OXKDPCo_88","True"
"es","pereza en la era digital","youtube","laziness in the digital age","JBOGJ_DkDX0","True"
"es","pereza en la era digital","youtube","laziness in the digital age","k1TwwjL6ZXk","True"
"es","subcontratar pensamientos a la máquina","youtube","outsourcing thoughts to machine","LVdWKcsSA2Q","True"
"es","subcontratar pensamientos a la máquina","youtube","outsourcing thoughts to machine","LVdWKcsSA2Q","True"
"es","subcontratar pensamientos a la máquina","youtube","outsourcing thoughts to machine","LwJCcUAu7pg","True"
"es","subcontratar pensamientos a la máquina","youtube","outsourcing thoughts to machine","LwJCcUAu7pg","True"
"fr","abandonner notre intellect","youtube","surrendering our intellect","KLvvbjABy94","True"
"fr","abandonner notre intellect","youtube","surrendering our intellect","KLvvbjABy94","True"
"fr","abandonner notre intellect","youtube","surrendering our intellect","g0nKGLImM8I","True"
"fr","abandonner notre intellect","youtube","surrendering our intellect","g0nKGLImM8I","True"
"fr","avis faits à la machine","youtube","machine-made opinions","hXZVK-8Ajmg","True"
"fr","avis faits à la machine","youtube","machine-made opinions","hXZVK-8Ajmg","True"
"fr","avis faits à la machine","youtube","machine-made opinions","ggJ58zG6DfM","True"
"fr","avis faits à la machine","youtube","machine-made opinions","ggJ58zG6DfM","True"
"fr","externaliser les pensées vers la machine","youtube","outsourcing thoughts to machine","Mg-SvRqNtfI","True"
"fr","externaliser les pensées vers la machine","youtube","outsourcing thoughts to machine","Mg-SvRqNtfI","True"
"fr","externaliser les pensées vers la machine","youtube","outsourcing thoughts to machine","kTS53gxuHlA","True"
"fr","externaliser les pensées vers la machine","youtube","outsourcing thoughts to machine","kTS53gxuHlA","True"
"fr","la mort de la curiosité","youtube","the death of curiosity","lCnvjjPqLU4","True"
"fr","la mort de la curiosité","youtube","the death of curiosity","lCnvjjPqLU4","True"
"fr","la mort de la curiosité","youtube","the death of curiosity","Q2LOQ6Z-4Ho","True"
"fr","la mort de la curiosité","youtube","the death of curiosity","Q2LOQ6Z-4Ho","True"
"fr","la paresse à l'ère du numérique","youtube","laziness in the digital age","yURpS16lxLM","True"
"fr","la paresse à l'ère du numérique","youtube","laziness in the digital age","yURpS16lxLM","True"
"fr","la paresse à l'ère du numérique","youtube","laziness in the digital age","Rfl5Fv15_Ms","True"
"fr","la paresse à l'ère du numérique","youtube","laziness in the digital age","Rfl5Fv15_Ms","True"
"fr","quand la réflexion s'externalise","youtube","when thinking gets outsourced","yZaGP4jH2s4","True"
"fr","quand la réflexion s'externalise","youtube","when thinking gets outsourced","yZaGP4jH2s4","True"
"fr","quand la réflexion s'externalise","youtube","when thinking gets outsourced","lRNqHCFsphs","True"
"fr","quand la réflexion s'externalise","youtube","when thinking gets outsourced","lRNqHCFsphs","True"
"fr","réconfort de ne pas penser","youtube","comfort of not thinking","as7ae29hpBE","True"
"fr","réconfort de ne pas penser","youtube","comfort of not thinking","as7ae29hpBE","True"
"fr","réconfort de ne pas penser","youtube","comfort of not thinking","H40nhNsMb5Y","True"
"fr","réconfort de ne pas penser","youtube","comfort of not thinking","H40nhNsMb5Y","True"
"hi","अपनी बुद्धि को समर्पित करना","youtube","surrendering our intellect","1FbkKi4NMvg","True"
"hi","अपनी बुद्धि को समर्पित करना","youtube","surrendering our intellect","1FbkKi4NMvg","True"
"hi","अपनी बुद्धि को समर्पित करना","youtube","surrendering our intellect","1DEFdeoQB2k","True"
"hi","अपनी बुद्धि को समर्पित करना","youtube","surrendering our intellect","1DEFdeoQB2k","True"
"hi","जब सोच आउटसोर्स हो जाती है","youtube","when thinking gets outsourced","diq3knI-it8","True"
"hi","जब सोच आउटसोर्स हो जाती है","youtube","when thinking gets outsourced","diq3knI-it8","True"
"hi","जब सोच आउटसोर्स हो जाती है","youtube","when thinking gets outsourced","umNAvRku7AM","True"
"hi","जब सोच आउटसोर्स हो जाती है","youtube","when thinking gets outsourced","umNAvRku7AM","True"
"hi","जिज्ञासा की मृत्यु","youtube","the death of curiosity","AZuNcCMuME0","True"
"hi","जिज्ञासा की मृत्यु","youtube","the death of curiosity","AZuNcCMuME0","True"
"hi","जिज्ञासा की मृत्यु","youtube","the death of curiosity","3rTwK_F3Ygk","True"
"hi","जिज्ञासा की मृत्यु","youtube","the death of curiosity","3rTwK_F3Ygk","True"
"hi","डिजिटल युग में आलस्य","youtube","laziness in the digital age","FhcohVnSddQ","True"
"hi","डिजिटल युग में आलस्य","youtube","laziness in the digital age","m0WaFxDMWWQ","True"
"hi","डिजिटल युग में आलस्य","youtube","laziness in the digital age","m0WaFxDMWWQ","True"
"hi","डिजिटल युग में आलस्य","youtube","laziness in the digital age","-OtrRoUCd1E","True"
"hi","न सोचने का आराम","youtube","comfort of not thinking","YjzOXaxlGac","True"
"hi","न सोचने का आराम","youtube","comfort of not thinking","YjzOXaxlGac","True"
"hi","न सोचने का आराम","youtube","comfort of not thinking","G2_Twwc0cnM","True"
"hi","न सोचने का आराम","youtube","comfort of not thinking","G2_Twwc0cnM","True"
"hi","मशीन से बनी राय","youtube","machine-made opinions","0_hlqkNxj1k","True"
"hi","मशीन से बनी राय","youtube","machine-made opinions","0_hlqkNxj1k","True"
"hi","मशीन से बनी राय","youtube","machine-made opinions","Qvw1pt0gvNc","True"
"hi","मशीन से बनी राय","youtube","machine-made opinions","Qvw1pt0gvNc","True"
"hi","विचारों को मशीन पर आउटसोर्स करना","youtube","outsourcing thoughts to machine","CU1Ar_YaMW0","True"
"hi","विचारों को मशीन पर आउटसोर्स करना","youtube","outsourcing thoughts to machine","CU1Ar_YaMW0","True"
"hi","विचारों को मशीन पर आउटसोर्स करना","youtube","outsourcing thoughts to machine","MiH_qJ7FHY8","True"
"hi","विचारों को मशीन पर आउटसोर्स करना","youtube","outsourcing thoughts to machine","Zd36F76WFJU","True"
"ja","デジタル時代の怠惰","youtube","laziness in the digital age","D8JXVzugTMo","True"
"ja","デジタル時代の怠惰","youtube","laziness in the digital age","D8JXVzugTMo","True"
"ja","デジタル時代の怠惰","youtube","laziness in the digital age","6O-o3v9bQ-s","True"
"ja","デジタル時代の怠惰","youtube","laziness in the digital age","6O-o3v9bQ-s","True"
"ja","好奇心の死","youtube","the death of curiosity","D3DPfUmpuqY","True"
"ja","好奇心の死","youtube","the death of curiosity","D3DPfUmpuqY","True"
"ja","好奇心の死","youtube","the death of curiosity","6AsbtkvFuoA","True"
"ja","好奇心の死","youtube","the death of curiosity","6AsbtkvFuoA","True"
"ja","思考が外部委託されるとき","youtube","when thinking gets outsourced","eVRcnLWS43o","True"
"ja","思考が外部委託されるとき","youtube","when thinking gets outsourced","eVRcnLWS43o","True"
"ja","思考が外部委託されるとき","youtube","when thinking gets outsourced","ihRlNSmXEUU","True"
"ja","思考が外部委託されるとき","youtube","when thinking gets outsourced","7QbrXtRhIXY","True"
"ja","思考を機械にアウトソーシングする","youtube","outsourcing thoughts to machine","6CXzGs14r0c","True"
"ja","思考を機械にアウトソーシングする","youtube","outsourcing thoughts to machine","6CXzGs14r0c","True"
"ja","思考を機械にアウトソーシングする","youtube","outsourcing thoughts to machine","tMgliWSQ83w","True"
"ja","思考を機械にアウトソーシングする","youtube","outsourcing thoughts to machine","tMgliWSQ83w","True"
"ja","機械が作った意見","youtube","machine-made opinions","St34PJbsSOM","True"
"ja","機械が作った意見","youtube","machine-made opinions","St34PJbsSOM","True"
"ja","機械が作った意見","youtube","machine-made opinions","N6gqFsNP2bU","True"
"ja","機械が作った意見","youtube","machine-made opinions","N6gqFsNP2bU","True"
"ja","私たちの知性を放棄する","youtube","surrendering our intellect","P2XF40o2jpA","True"
"ja","私たちの知性を放棄する","youtube","surrendering our intellect","P2XF40o2jpA","True"
"ja","私たちの知性を放棄する","youtube","surrendering our intellect","lGMQHt1t3rk","True"
"ja","私たちの知性を放棄する","youtube","surrendering our intellect","lGMQHt1t3rk","True"
"ja","考えないことの快適さ","youtube","comfort of not thinking","9wEBBOz5cOo","True"
"ja","考えないことの快適さ","youtube","comfort of not thinking","9wEBBOz5cOo","True"
"ja","考えないことの快適さ","youtube","comfort of not thinking","LwblGMsu08o","True"
"ja","考えないことの快適さ","youtube","comfort of not thinking","LwblGMsu08o","True"
"pt","a morte da curiosidade","youtube","the death of curiosity","OlSncGToK9U","True"
"pt","a morte da curiosidade","youtube","the death of curiosity","OlSncGToK9U","True"
"pt","a morte da curiosidade","youtube","the death of curiosity","l8Geu0Ep1oA","True"
"pt","a morte da curiosidade","youtube","the death of curiosity","l8Geu0Ep1oA","True"
"pt","conforto de não pensar","youtube","comfort of not thinking","z7HdlPAQM3U","True"
"pt","conforto de não pensar","youtube","comfort of not thinking","z7HdlPAQM3U","True"
"pt","conforto de não pensar","youtube","comfort of not thinking","PfVCQQsaL6I","True"
"pt","conforto de não pensar","youtube","comfort of not thinking","PfVCQQsaL6I","True"
"pt","entregando nosso intelecto","youtube","surrendering our intellect","pykIH980iwM","True"
"pt","entregando nosso intelecto","youtube","surrendering our intellect","pykIH980iwM","True"
"pt","entregando nosso intelecto","youtube","surrendering our intellect","as-P7JOZkeQ","True"
"pt","entregando nosso intelecto","youtube","surrendering our intellect","as-P7JOZkeQ","True"
"pt","opiniões feitas à máquina","youtube","machine-made opinions","lM8gFNrIpGI","True"
"pt","opiniões feitas à máquina","youtube","machine-made opinions","lM8gFNrIpGI","True"
"pt","opiniões feitas à máquina","youtube","machine-made opinions","TYD6k9WmYsM","True"
"pt","opiniões feitas à máquina","youtube","machine-made opinions","TYD6k9WmYsM","True"
"pt","preguiça na era digital","youtube","laziness in the digital age","7o5LwcR2Jd8","True"
"pt","preguiça na era digital","youtube","laziness in the digital age","WZxAtyTpZho","True"
"pt","preguiça na era digital","youtube","laziness in the digital age","WZxAtyTpZho","True"
"pt","preguiça na era digital","youtube","laziness in the digital age","DRWgoOsyml0","True"
"pt","quando o pensamento é terceirizado","youtube","when thinking gets outsourced","17CJ_AMNrPA","True"
"pt","quando o pensamento é terceirizado","youtube","when thinking gets outsourced","17CJ_AMNrPA","True"
"pt","quando o pensamento é terceirizado","youtube","when thinking gets outsourced","1pr1ssc5jOM","True"
"pt","quando o pensamento é terceirizado","youtube","when thinking gets outsourced","1pr1ssc5jOM","True"
"pt","terceirizando pensamentos para máquinas","youtube","outsourcing thoughts to machine","44r9ys-DDJQ","True"
"pt","terceirizando pensamentos para máquinas","youtube","outsourcing thoughts to machine","jl_FS4BKjkU","True"
"pt","terceirizando pensamentos para máquinas","youtube","outsourcing thoughts to machine","jl_FS4BKjkU","True"
"pt","terceirizando pensamentos para máquinas","youtube","outsourcing thoughts to machine","sOTYbgLoz7w","True"
"zh-CN","不思考的舒适感","youtube","comfort of not thinking","Jcxlgx5EX7U","True"
"zh-CN","不思考的舒适感","youtube","comfort of not thinking","Jcxlgx5EX7U","True"
"zh-CN","不思考的舒适感","youtube","comfort of not thinking","FA7wybbfElA","True"
"zh-CN","不思考的舒适感","youtube","comfort of not thinking","FA7wybbfElA","True"
"zh-CN","好奇心之死","youtube","the death of curiosity","D3DPfUmpuqY","True"
"zh-CN","好奇心之死","youtube","the death of curiosity","D3DPfUmpuqY","True"
"zh-CN","好奇心之死","youtube","the death of curiosity","oDDip5w9dQs","True"
"zh-CN","好奇心之死","youtube","the death of curiosity","oDDip5w9dQs","True"
"zh-CN","将思想外包给机器","youtube","outsourcing thoughts to machine","sS8sVecGRCU","True"
"zh-CN","将思想外包给机器","youtube","outsourcing thoughts to machine","sS8sVecGRCU","True"
"zh-CN","将思想外包给机器","youtube","outsourcing thoughts to machine","N1un4lMRz9k","True"
"zh-CN","将思想外包给机器","youtube","outsourcing thoughts to machine","N1un4lMRz9k","True"
"zh-CN","当思维被外包时","youtube","when thinking gets outsourced","f7Ksp7yuarc","True"
"zh-CN","当思维被外包时","youtube","when thinking gets outsourced","f7Ksp7yuarc","True"
"zh-CN","当思维被外包时","youtube","when thinking gets outsourced","1FjMOtZCook","True"
"zh-CN","当思维被外包时","youtube","when thinking gets outsourced","1FjMOtZCook","True"
"zh-CN","放弃我们的智力","youtube","surrendering our intellect","peE420B5ZrI","True"
"zh-CN","放弃我们的智力","youtube","surrendering our intellect","peE420B5ZrI","True"
"zh-CN","放弃我们的智力","youtube","surrendering our intellect","ybzP5-3l_q4","True"
"zh-CN","放弃我们的智力","youtube","surrendering our intellect","ybzP5-3l_q4","True"
"zh-CN","数字时代的懒惰","youtube","laziness in the digital age","oMu4ljVFBoM","True"
"zh-CN","数字时代的懒惰","youtube","laziness in the digital age","oMu4ljVFBoM","True"
"zh-CN","数字时代的懒惰","youtube","laziness in the digital age","EZnh5Jg58jo","True"
"zh-CN","数字时代的懒惰","youtube","laziness in the digital age","EZnh5Jg58jo","True"
"zh-CN","机器制造的意见","youtube","machine-made opinions","Z8h6BfZZTn0","True"
"zh-CN","机器制造的意见","youtube","machine-made opinions","Z8h6BfZZTn0","True"
"zh-CN","机器制造的意见","youtube","machine-made opinions","kuEgvi9w7uI","True"
"zh-CN","机器制造的意见","youtube","machine-made opinions","xpC5vvIAFbo","True"
